Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
Picture	red_right	hit	1	3914	1	1957826	1	4000	1	4000	resp
Picture	jitter	other				1973824	1	4166	1	0	50000
Picture	fixation	other				1977991	1	4166	1	0	4000
Picture	red_left	hit	1	3982	1	1982157	1	4000	1	4000	resp
Picture	jitter	other				1998156	1	5166	1	0	50000
Picture	fixation	other				2003322	1	4166	1	0	4000
Picture	green_left	hit	2	5451	1	2007488	1	5500	1	4000	resp
Picture	jitter	other				2023487	1	1167	1	0	50000
Picture	fixation	other				2024653	1	4166	1	0	4000
Picture	red_right	hit	1	5080	1	2028820	1	5166	1	4000	resp
Picture	jitter	other				2044818	1	2167	1	0	50000
Picture	fixation	other				2046985	1	4166	1	0	4000
Picture	red_right	hit	1	4747	1	2051151	1	4833	1	4000	resp
Picture	jitter	other				2067150	1	7166	1	0	50000
Picture	fixation	other				2074316	1	4166	1	0	4000
Picture	green_left	hit	2	4135	1	2078482	1	4166	1	4000	resp
Picture	jitter	other				2094480	1	9166	1	0	50000
Picture	fixation	other				2103646	1	4166	1	0	4000
Picture	green_left	hit	2	5524	1	2107813	1	5666	1	4000	resp
Picture	jitter	other				2123811	1	2166	1	0	50000
Picture	fixation	other				2125978	1	4166	1	0	4000
Picture	green_left	hit	2	5192	1	2130144	1	5333	1	4000	resp
Picture	jitter	other				2146142	1	1167	1	0	50000
Picture	fixation	other				2147309	1	4166	1	0	4000
Picture	green_right	hit	2	4821	1	2151475	1	4821	180	4000	resp
Picture	jitter	other				2167474	1	10166	1	0	50000
Picture	fixation	other				2177640	1	4166	1	0	4000
Picture	red_right	hit	1	3769	1	2181806	1	3833	1	4000	resp
Picture	jitter	other				2197805	1	8166	1	0	50000
Picture	fixation	other				2205970	1	4166	1	0	4000
Picture	red_right	incorrect	2	3837	1	2210137	1	4000	1	4000	resp
Picture	jitter	other				2226135	1	3166	1	0	50000
Picture	fixation	other				2229302	1	4166	1	0	4000
Picture	red_right	hit	1	4587	1	2233468	1	4666	1	4000	resp
Picture	jitter	other				2249467	1	3166	1	0	50000
Picture	fixation	other				2252633	1	4166	1	0	4000
Picture	green_left	hit	2	3735	1	2256799	1	3833	1	4000	resp
Picture	jitter	other				2272798	1	7166	1	0	50000
Picture	fixation	other				2279964	1	4166	1	0	4000
Picture	green_right	hit	2	3922	1	2284130	1	4000	1	4000	resp
Picture	jitter	other				2300129	1	8166	1	0	50000
Picture	fixation	other				2308295	1	4166	1	0	4000
Picture	red_right	hit	1	4230	1	2312461	1	4333	1	4000	resp
Picture	jitter	other				2328460	1	9166	1	0	50000
Picture	fixation	other				2337625	1	4166	1	0	4000
Picture	red_right	hit	1	6499	1	2341792	1	6666	1	4000	resp
Picture	jitter	other				2357790	1	7166	1	0	50000
Picture	fixation	other				2364956	1	4166	1	0	4000
Picture	green_right	hit	2	4528	1	2369123	1	4666	1	4000	resp
Picture	jitter	other				2385121	1	6166	1	0	50000
Picture	fixation	other				2391287	1	4166	1	0	4000
Picture	green_right	hit	2	4677	1	2395454	1	4833	1	4000	resp
Picture	jitter	other				2411452	1	2166	1	0	50000
Picture	fixation	other				2413619	1	4166	1	0	4000
Picture	red_left	hit	1	4744	1	2417785	1	4833	1	4000	resp
Picture	jitter	other				2433783	1	5166	1	0	50000
Picture	fixation	other				2438950	1	4166	1	0	4000
Picture	red_right	hit	1	5173	1	2443116	1	5333	1	4000	resp
Picture	jitter	other				2459115	1	10166	1	0	50000
Picture	fixation	other				2469280	1	4166	1	0	4000
Picture	red_left	hit	1	4442	1	2473447	1	4500	1	4000	resp
Picture	jitter	other				2489445	1	7166	1	0	50000
